,city,Lattitude,temp,Humidity,Cloudiness,WindSpeed,longitude
0,bubaque,11.28,25.29,73,69,4.39,-15.83
1,butaritari,3.07,28.86,79,97,10.28,172.79
2,port macquarie,-31.43,30.66,51,13,6.7,152.92
3,rikitea,-23.12,26.6,78,43,2.34,-134.97
4,surt,31.21,10.98,85,0,1.74,16.59
5,thompson,55.74,-12.0,92,90,0.77,-97.86
6,bandarbeyla,9.49,24.21,70,69,12.66,50.81
7,bredasdorp,-34.53,16.0,72,18,1.0,20.04
8,leningradskiy,69.38,-24.01,95,44,4.86,178.42
9,maniitsoq,65.42,-14.09,82,73,5.95,-52.9
10,staritsa,56.51,-3.57,95,100,4.16,34.94
11,cidreira,-30.18,23.11,73,89,3.88,-50.21
12,cape town,-33.93,16.85,93,20,2.1,18.42
13,hermanus,-34.42,18.33,80,8,0.89,19.23
14,bilibino,68.05,-17.41,85,100,1.01,166.44
15,baherden,38.44,7.67,46,0,5.18,57.43
16,bluff,-46.6,18.89,67,98,2.68,168.33
17,albany,42.6,0.59,100,90,4.1,-73.97
18,saint-pierre,-21.34,26.11,57,0,5.1,55.48
19,busselton,-33.65,35.77,14,0,8.17,115.33
20,yantzaza,-3.83,13.84,96,98,1.78,-78.76
21,jamestown,42.1,-1.02,100,90,6.2,-79.24
22,bijie,27.31,4.18,78,94,2.62,105.29
23,saint-philippe,-21.36,26.26,57,37,5.1,55.77
24,castro,-24.79,17.49,97,61,1.19,-50.01
25,ushuaia,-54.8,7.0,93,75,1.95,-68.3
26,sistranda,63.73,3.88,86,75,3.1,8.83
27,vila velha,-20.33,24.47,94,40,4.1,-40.29
28,tubmanburg,6.87,23.56,97,73,0.97,-10.82
29,hobart,-42.88,20.91,38,60,8.2,147.33
30,sandakan,5.84,30.0,79,40,4.6,118.12
31,punta arenas,-53.15,6.85,81,20,3.6,-70.92
32,san jose,37.34,10.39,81,90,3.1,-121.89
33,ushumun,52.78,-14.69,91,61,2.72,126.53
34,puerto ayora,-0.74,22.78,13,84,0.89,-90.35
35,vila franca do campo,37.72,18.0,93,75,10.8,-25.43
36,coihaique,-45.58,14.0,54,54,3.6,-72.07
37,hithadhoo,-0.6,27.58,78,96,6.29,73.08
38,muros,42.78,9.78,100,40,3.1,-9.06
39,riyadh,24.69,6.0,60,0,1.29,46.72
40,port alfred,-33.59,21.11,53,7,1.34,26.89
41,bac lieu,9.29,32.73,41,92,5.95,105.72
42,portland,45.52,9.96,87,90,5.1,-122.68
43,karratha,-20.74,30.18,72,13,5.86,116.85
44,atuona,-9.8,27.7,75,41,5.62,-139.03
45,pietersburg,-23.9,15.97,82,90,3.6,29.47
46,tiksi,71.69,-32.71,89,92,1.75,128.87
47,kalmunai,7.42,26.69,67,81,4.55,81.82
48,akranes,64.32,0.47,82,90,6.2,-22.07
49,boueni,-12.9,29.0,83,66,4.6,45.08
50,turukhansk,65.82,-9.42,91,100,6.73,87.98
51,tilichiki,60.47,-9.37,92,100,2.65,166.1
52,lima,-12.04,24.0,83,75,5.7,-77.03
53,uige,-7.61,19.68,94,98,1.04,15.06
54,flin flon,54.77,-12.82,97,16,1.68,-101.86
55,jakar,27.55,1.62,80,96,2.41,90.75
56,yushu,44.8,-8.42,88,100,3.8,126.53
57,luderitz,-26.65,16.0,63,0,2.6,15.16
58,avera,33.19,6.9,86,1,2.6,-82.53
59,usolye,59.43,-26.11,96,28,2.35,56.68
60,talara,-4.58,23.29,88,70,3.78,-81.27
61,casper,42.87,-5.9,92,1,1.5,-106.31
62,guerrero negro,27.98,15.45,78,0,1.2,-114.06
63,vaini,-21.2,27.0,88,40,1.0,-175.2
64,tasiilaq,65.61,-2.0,63,100,1.5,-37.64
65,itarema,-2.92,24.17,92,100,0.89,-39.92
66,longyearbyen,78.22,-16.0,77,93,3.6,15.64
67,aklavik,68.22,-31.0,67,90,4.6,-135.01
68,mataura,-46.19,18.89,64,83,3.58,168.86
69,olafsvik,64.89,0.72,68,100,4.26,-23.71
70,yellowknife,62.46,-12.0,85,90,3.6,-114.35
71,avarua,-21.21,25.0,94,100,5.1,-159.78
72,solvychegodsk,61.33,-25.32,99,49,1.19,46.92
73,lavrentiya,65.58,-25.0,75,0,1.55,-171.0
74,iqaluit,63.75,-17.9,84,90,1.42,-68.51
75,nouadhibou,20.93,16.0,72,0,7.2,-17.03
76,vengerovo,55.68,-10.65,93,100,4.83,76.75
77,alappuzha,9.49,32.99,43,39,1.74,76.33
78,barrow,71.29,-31.0,67,90,2.6,-156.79
79,asau,46.43,-0.54,100,30,0.5,26.4
80,husavik,66.04,-11.0,85,100,3.1,-17.34
81,khatanga,71.97,-26.79,88,0,3.61,102.5
82,neiafu,-18.65,28.0,78,40,1.0,-173.98
83,vetlanda,57.43,4.1,100,90,2.1,15.08
84,chuy,-33.7,15.03,78,0,1.47,-53.46
85,bengkulu,-3.8,31.11,59,89,2.79,102.27
86,qaqortoq,60.72,-10.0,56,75,2.1,-46.03
87,manono,-7.3,21.68,93,91,1.68,27.42
88,kargopol,61.51,-12.7,77,100,3.01,38.95
89,kenai,60.55,-18.17,77,40,2.9,-151.26
90,kalianget,-7.05,30.43,67,27,1.91,113.93
91,kodiak,57.79,-13.0,65,40,3.6,-152.41
92,carnarvon,-24.87,30.0,66,0,7.7,113.63
93,kruisfontein,-34.0,19.14,58,22,2.16,24.73
94,kilembe,0.2,23.72,52,100,1.35,30.0
95,ponta do sol,32.67,14.1,72,20,2.6,-17.1
96,kaitangata,-46.28,14.26,77,72,6.01,169.85
97,kavieng,-2.57,28.74,77,53,5.87,150.8
98,saskylakh,71.92,-29.77,94,3,2.55,114.08
99,bethel,41.37,3.2,64,90,2.1,-73.41
100,slave lake,55.28,-11.0,92,1,1.5,-114.77
101,kapaa,22.08,22.68,73,1,1.15,-159.32
102,sweetwater,25.76,17.52,77,1,0.95,-80.37
103,komsomolskiy,40.43,4.0,69,40,2.1,71.72
104,helong,42.54,-2.48,70,100,1.27,129.0
105,miyako,39.64,3.58,72,100,5.02,141.95
106,buraydah,26.33,2.0,74,0,3.18,43.98
107,chengzihe,45.33,-4.78,76,100,1.01,131.07
108,dingle,11.0,29.76,66,73,3.48,122.67
109,makakilo city,21.35,22.54,73,1,1.5,-158.09
110,juegang,32.32,6.67,78,35,5.3,121.19
111,siguiri,11.67,19.4,11,94,1.3,-9.5
112,rottenburg,48.48,5.16,81,20,4.1,8.94
113,upernavik,72.79,-26.82,93,93,1.92,-56.15
114,baiyin,36.56,1.41,50,48,3.0,104.21
115,hilo,19.73,20.87,73,40,2.1,-155.09
116,mayskiy,47.69,1.0,100,90,4.0,40.1
117,ukiah,39.15,8.88,87,90,0.63,-123.21
118,klaksvik,62.23,1.0,70,44,2.6,-6.59
119,huarmey,-10.07,21.43,80,100,1.0,-78.15
120,santiago de cuba,20.02,21.49,83,20,1.0,-75.82
121,esperance,-33.87,38.0,31,0,7.2,121.9
122,san cristobal,7.77,26.0,78,75,1.0,-72.22
123,souillac,-20.52,25.68,73,75,3.1,57.52
124,east london,-33.02,18.0,77,60,3.1,27.91
125,port elizabeth,-33.92,18.0,63,17,1.5,25.57
126,petropavlovsk-kamchatskiy,53.05,1.0,55,100,2.84,158.65
127,tuktoyaktuk,69.45,-28.0,68,75,4.6,-133.04
128,bambous virieux,-20.34,25.71,73,75,3.1,57.76
129,ha giang,22.83,13.03,68,98,2.09,104.98
130,naousa,40.63,5.55,85,20,2.56,22.05
131,pevek,69.7,-20.28,90,61,1.24,170.31
132,monrovia,6.3,25.0,94,40,2.1,-10.8
133,bagotville,-28.98,30.73,69,40,8.7,153.42
134,college,64.86,-29.56,74,90,1.26,-147.8
135,lakefield,43.68,-8.73,92,90,2.1,-95.17
136,meulaboh,4.14,28.32,71,84,2.3,96.13
137,kieta,-6.22,29.79,68,33,1.44,155.63
138,marquette,46.53,-4.37,92,90,3.6,-87.63
139,shenjiamen,29.96,7.24,76,12,10.19,122.3
140,lompoc,34.64,11.27,76,1,5.1,-120.46
141,mindelo,16.89,20.0,82,20,8.7,-24.98
142,san policarpo,12.18,27.69,72,10,3.19,125.51
143,qaanaaq,77.48,-24.86,68,69,0.48,-69.36
144,bintulu,3.17,30.0,79,75,3.1,113.03
145,mount gambier,-37.83,22.0,53,84,6.2,140.77
146,provideniya,64.38,-21.0,76,0,3.0,-173.3
147,alyangula,-13.85,35.0,59,96,5.1,136.42
148,codrington,-38.27,17.35,84,57,6.78,141.97
149,new norfolk,-42.78,20.74,38,100,8.2,147.06
150,opuwo,-18.06,24.11,33,89,2.68,13.84
151,abonnema,4.71,24.54,89,59,1.56,6.79
152,nara,34.69,14.74,55,75,7.7,135.8
153,sulangan,11.14,27.32,77,14,4.59,123.72
154,norman wells,65.28,-28.0,75,75,5.1,-126.83
155,vao,-22.67,25.32,79,34,7.03,167.48
156,yulara,-25.24,40.0,8,0,6.2,130.99
157,lianran,24.92,10.87,61,75,6.0,102.48
158,taoudenni,22.68,17.56,21,0,3.92,-3.98
159,hualmay,-11.1,20.74,86,100,1.72,-77.61
160,nikolskoye,59.7,-3.93,92,90,4.0,30.79
161,talaya,61.38,-15.69,90,84,0.27,152.75
162,san miguel de cauri,-10.1,7.85,89,100,0.3,-76.58
163,luena,-11.78,17.64,97,100,0.83,19.92
164,luoyang,34.68,8.98,38,0,3.14,112.45
165,dalaba,10.7,17.79,15,98,0.37,-12.25
166,lianzhou,24.78,9.2,61,0,4.11,112.38
167,kununurra,-15.77,40.0,29,51,3.1,128.73
168,verkh-chebula,56.03,-1.86,83,45,6.57,87.62
169,vallenar,-28.57,16.11,80,0,0.91,-70.76
170,malumfashi,11.79,13.61,14,0,4.45,7.62
171,nizwa,22.93,13.02,56,0,0.83,57.53
172,isangel,-19.55,30.0,70,75,4.1,169.27
173,kirakira,-10.45,27.72,81,100,1.58,161.92
174,banjarmasin,-3.32,29.95,73,35,3.32,114.59
175,abrau-dyurso,44.69,5.0,86,20,5.0,37.59
176,hami,42.8,-7.17,65,12,1.35,93.45
177,margate,51.38,4.13,86,40,7.2,1.39
178,arraial do cabo,-22.97,24.72,92,13,7.11,-42.03
179,katsuura,35.13,6.36,93,75,5.7,140.3
180,touros,-5.2,25.0,94,40,1.5,-35.46
181,sorland,67.67,-1.0,100,20,4.6,12.69
182,pangkalanbuun,-2.68,31.64,65,98,1.63,111.62
183,lata,40.16,13.32,93,75,5.1,-8.33
184,carbonia,39.17,11.03,81,40,2.6,8.52
185,bambanglipuro,-7.95,30.34,69,30,4.11,110.28
186,maple creek,49.92,-4.64,81,58,2.55,-109.48
187,fairbanks,64.84,-29.64,74,90,1.37,-147.72
188,najran,17.49,8.0,45,0,1.5,44.13
189,norton,-17.88,16.0,82,0,4.47,30.7
190,mehamn,71.04,-10.94,84,43,6.2,27.85
191,kansk,56.2,-5.21,80,99,2.4,95.72
192,waipawa,-41.41,18.55,88,88,4.1,175.52
193,rockland,41.17,2.88,59,75,5.1,-74.05
194,bathsheba,13.22,26.0,78,40,3.6,-59.52
195,rock hill,34.92,2.57,93,1,2.1,-81.03
196,tucuman,-26.82,23.0,83,75,2.1,-65.22
197,mar del plata,-38.0,13.82,76,1,2.1,-57.56
198,mangrol,21.12,21.6,60,52,7.28,70.12
199,shimoda,34.67,9.42,100,75,12.9,138.95
200,pisco,-13.7,22.1,88,40,1.0,-76.22
201,batagay-alyta,67.8,-30.39,34,12,2.18,130.41
202,sampit,-2.53,34.31,56,90,0.75,112.95
203,ilulissat,69.22,-14.0,60,100,4.6,-51.1
204,rangapara,26.82,17.21,48,0,2.19,92.65
205,carutapera,-1.2,27.79,79,100,5.65,-46.02
206,nicoya,10.15,23.11,78,21,1.0,-85.45
207,jinchang,38.5,-2.41,31,0,1.42,102.17
208,tuensang,26.28,12.13,84,89,1.2,94.83
209,dikson,73.51,-24.4,96,69,3.32,80.55
210,zhezkazgan,47.8,-3.0,92,90,16.0,67.71
211,nanortalik,60.14,-7.0,75,50,7.31,-45.24
212,constitucion,-35.33,15.59,80,0,3.36,-72.42
213,victoria,22.29,14.4,54,20,4.6,114.16
214,aqtobe,50.28,-14.0,84,20,4.0,57.21
215,thinadhoo,0.53,27.46,75,57,5.86,72.93
216,lebu,-37.62,14.66,93,61,2.49,-73.65
217,inuvik,68.35,-31.0,67,90,4.6,-133.72
218,mahebourg,-20.41,25.68,73,75,3.1,57.7
219,sao filipe,14.9,23.29,56,79,7.43,-24.5
220,pierre,44.37,-2.0,92,90,1.5,-100.35
221,skovorodino,53.98,-12.63,87,56,1.22,123.92
222,dongargaon,20.97,28.94,41,8,7.01,80.85
223,saint-georges,12.06,25.0,83,20,3.1,-61.75
224,zhanaozen,43.3,4.14,81,73,1.93,52.8
225,valparaiso,-33.04,15.57,87,20,3.6,-71.63
226,tazovskiy,67.47,-15.2,94,100,5.87,78.7
227,naze,28.37,18.53,59,75,6.2,129.48
228,sept-iles,50.2,-12.41,65,75,6.2,-66.38
229,port hedland,-20.32,37.0,37,42,7.2,118.57
230,jinka,5.65,22.0,80,85,0.86,36.65
231,irtyshskiy,58.33,-18.49,93,99,3.39,68.13
232,hasaki,35.73,10.07,93,75,3.1,140.83
233,ixtapa,20.7,22.38,83,75,1.44,-105.2
234,zhuhai,22.28,14.43,62,40,9.8,113.57
235,taltal,-25.4,17.55,91,29,2.26,-70.48
236,messina,38.19,12.74,71,40,1.5,15.55
237,faanui,-16.48,28.47,75,61,4.64,-151.75
238,doka,13.52,20.94,36,0,2.14,35.77
239,isla mujeres,21.23,22.89,100,40,3.5,-86.73
240,sitka,57.05,1.53,76,90,4.6,-135.33
241,stokmarknes,68.56,-2.32,58,100,9.8,14.91
242,orange,33.7,13.29,72,1,1.25,-117.77
243,nemuro,43.32,-2.0,46,12,2.1,145.57
244,cherskiy,68.75,-25.13,98,100,3.52,161.3
245,dargaville,-35.93,21.38,83,82,2.4,173.88
246,dauphin,51.15,-14.0,92,90,1.5,-100.05
247,padang,-0.95,26.85,80,97,1.21,100.35
248,tuatapere,-46.13,18.89,67,100,2.68,167.68
249,vega de alatorre,20.03,23.08,86,0,4.92,-96.63
250,hearst,49.68,-13.76,97,100,1.85,-83.67
251,angoche,-16.23,26.31,92,100,3.9,39.91
252,iwanai,42.97,-0.01,85,95,2.56,140.51
253,pacific grove,36.62,9.7,87,90,1.5,-121.92
254,kuminskiy,58.67,-18.82,93,100,3.44,66.57
255,valdivia,-39.81,18.0,82,90,2.1,-73.25
256,buala,-8.14,29.12,75,78,3.07,159.59
257,dunedin,-45.87,17.78,74,86,5.36,170.5
258,chokwe,-24.53,25.6,60,66,4.49,32.98
259,saint-paul,-21.01,26.07,51,7,2.1,55.27
260,mount isa,-20.73,29.0,66,75,5.1,139.5
261,sao jose da coroa grande,-8.9,26.85,80,36,5.12,-35.15
262,adolfo lopez mateos,28.47,2.45,85,0,3.26,-107.3
263,anori,-3.77,24.05,92,58,0.85,-61.64
264,nome,64.5,-22.0,57,1,2.6,-165.41
265,takoradi,4.88,23.79,95,13,0.79,-1.76
266,flinders,-34.58,26.74,78,75,6.2,150.86
267,puerto madryn,-42.77,26.14,35,49,7.99,-65.04
268,sarh,9.14,16.0,55,33,1.49,18.39
269,zhigansk,66.77,-32.43,88,48,4.71,123.37
270,tezu,27.92,19.52,31,0,1.96,96.17
271,le port,-20.94,26.02,51,7,2.1,55.29
272,shubarkuduk,49.14,-14.91,94,80,3.34,56.49
273,cabo san lucas,22.89,17.04,77,5,3.1,-109.91
